geoid,intptlat,intptlon,geometry
10100US060730027123000,32.7242958,-117.0804807,POINT (-117.0804806819537 32.72429578961867)
10100US060730027123001,32.7267014,-117.0764889,POINT (-117.076488931663 32.72670143281631)
10100US060730027122019,32.7263184,-117.0819462,POINT (-117.0819461696498 32.72631840554355)
10100US060730027122018,32.7265421,-117.0823441,POINT (-117.0823440723079 32.72654208478692)
10100US060730027122017,32.7279973,-117.08101,POINT (-117.0810099550454 32.7279973362057)
10100US060730027122010,32.7291908,-117.0767754,POINT (-117.0767754289418 32.72919079877627)
10100US060730027122004,32.7294977,-117.079056,POINT (-117.0790559606152 32.72949774243789)
10100US060730027122006,32.7305797,-117.0777667,POINT (-117.0777666727868 32.73057974263554)
10100US060730027122003,32.7315439,-117.0791342,POINT (-117.0791342402938 32.73154391004851)
10100US060730027122002,32.7336131,-117.0791152,POINT (-117.0791151560987 32.73361309222816)
10100US060730027122009,32.7330273,-117.0766259,POINT (-117.0766258539559 32.7330273303942)
10100US060730027112014,32.7361262,-117.0795225,POINT (-117.0795224697184 32.73612616841218)
10100US060730027112015,32.7370872,-117.079508,POINT (-117.0795079670314 32.73708725003964)
10100US060730027112006,32.7394169,-117.0794824,POINT (-117.0794823553154 32.73941690180527)
10100US060730027112011,32.7379533,-117.0790783,POINT (-117.0790782974458 32.73795332023773)
10100US060730027112009,32.7383859,-117.0780285,POINT (-117.0780284883856 32.73838585612973)
10100US060730027112012,32.7368432,-117.0773269,POINT (-117.0773268544641 32.73684322250097)
10100US060730027112005,32.7422053,-117.0794376,POINT (-117.0794375745396 32.74220533421868)
10100US060730027112002,32.74174,-117.0767908,POINT (-117.0762477533942 32.74121972063331)
10100US060730208061012,33.0458402,-116.8732608,POINT (-116.8732607638722 33.04584022321648)
10100US060730208061009,33.0455833,-116.8845554,POINT (-116.8845553973972 33.04558328593739)
10100US060730208061008,33.0518113,-116.8894899,POINT (-116.889489916226 33.0518113169499)
10100US060730208061006,33.0494166,-116.873374,POINT (-116.8733739820921 33.04941662856555)
10100US060730208061005,33.0530535,-116.8734864,POINT (-116.8734864340597 33.05305353485937)
10100US060730208061004,33.053061,-116.8777236,POINT (-116.877723647049 33.05306099508765)
10100US060730208061003,33.0534657,-116.8819066,POINT (-116.8819065856249 33.05346568684921)
10100US060730208061001,33.0566854,-116.8779445,POINT (-116.8779445172247 33.05668537578124)
10100US060730208061000,33.0567032,-116.8736022,POINT (-116.8736022096339 33.05670317146469)
10100US060730208051003,33.0270264,-116.8801088,POINT (-116.8801087573341 33.02702639075176)
10100US060730208051010,33.0270294,-116.8885258,POINT (-116.8885257957825 33.02702943487098)
10100US060730208051005,33.0295189,-116.885371,POINT (-116.8853710138074 33.0295188804656)
10100US060730208051002,33.0307583,-116.8838047,POINT (-116.8838046626872 33.03075834127462)
10100US060730208051004,33.0319754,-116.8822622,POINT (-116.8822621543382 33.03197543210261)
10100US060730187001075,33.3816878,-117.2609086,POINT (-117.2609086229944 33.38168780462831)
10100US060730208052065,33.0255292,-116.8953097,POINT (-116.8953097179673 33.02552919997331)
10100US060730208052058,33.0266624,-116.8939815,POINT (-116.893981447421 33.02666239894324)
10100US060730208052059,33.0278974,-116.8924175,POINT (-116.8924174951973 33.02789739000327)
10100US060730208052060,33.0271613,-116.8916154,POINT (-116.8916153667456 33.02716127921769)
10100US060730208052061,33.0264496,-116.8908294,POINT (-116.8908294326669 33.0264496319874)
10100US060730208052049,33.0283869,-116.8900573,POINT (-116.8900572479945 33.02838687056263)
10100US060730208052050,33.0291157,-116.8908515,POINT (-116.8908515186071 33.02911571232576)
10100US060730208052051,33.0298163,-116.891638,POINT (-116.8916380018963 33.02981631015636)
10100US060730177022001,33.0637835,-117.3032935,POINT (-117.3032934643373 33.06378350630637)
10100US060730177012016,33.0722897,-117.3093388,POINT (-117.3093390050315 33.07229003042868)
10100US060730177012029,33.0642737,-117.3025213,POINT (-117.3025212540823 33.06427367429684)
10100US060730177012018,33.0662298,-117.30411,POINT (-117.3041099708246 33.06622975364906)
